NJ;5×;0.02%
DK;5×;0.02%
MN;5×;0.02%
KV;5×;0.02%
SF;5×;0.02%
AY;5×;0.02%
AW;5×;0.02%
GW;5×;0.02%
PK;5×;0.02%
IU;5×;0.02%
KD;5×;0.02%
OZ;5×;0.02%
MR;4×;0.02%
LB;4×;0.02%
UK;4×;0.02%
ZU;4×;0.02%
SJ;4×;0.02%
KH;4×;0.02%
FL;4×;0.02%
KC;4×;0.02%
UZ;4×;0.02%
RJ;4×;0.02%
RY;4×;0.02%
UG;4×;0.02%
GC;4×;0.02%
HV;4×;0.02%
BS;4×;0.02%
CL;4×;0.02%
FB;4×;0.02%
ZZ;4×;0.02%
YC;4×;0.02%
PM;4×;0.02%
AH;4×;0.02%
ML;4×;0.02%
AX;4×;0.02%
HW;3×;0.01%
OX;3×;0.01%
PN;3×;0.01%
QU;3×;0.01%
DL;3×;0.01%
KJ;3×;0.01%
YA;3×;0.01%
XA;3×;0.01%
FH;3×;0.01%
UO;3×;0.01%
JH;3×;0.01%
BT;3×;0.01%
UV;3×;0.01%
FP;3×;0.01%
FM;3×;0.01%
YN;3×;0.01%
YP;3×;0.01%
JR;3×;0.01%
AO;3×;0.01%
FK;3×;0.01%
LC;3×;0.01%
FC;3×;0.01%
PW;3×;0.01%
WD;3×;0.01%
DY;3×;0.01%
BY;3×;0.01%
KN;2×;0.01%
BD;2×;0.01%
IX;2×;0.01%
PZ;2×;0.01%
IH;2×;0.01%
PJ;2×;0.01%
YO;2×;0.01%
GZ;2×;0.01%
XT;2×;0.01%
YE;2×;0.01%
FU;2×;0.01%
GY;2×;0.01%
VW;2×;0.01%
CC;2×;0.01%
HZ;2×;0.01%
YI;2×;0.01%
VC;2×;0.01%
XI;2×;0.01%
EY;2×;0.01%
FN;2×;0.01%
YV;2×;0.01%
KF;2×;0.01%
WS;2×;0.01%
XP;2×;0.01%
LJ;2×;0.01%
YT;2×;0.01%
JT;2×;0.01%
HL;2×;0.01%
MG;2×;0.01%
YB;2×;0.01%
HS;2×;0.01%
HP;2×;0.01%
KP;2×;0.01%
WZ;2×;0.01%
MZ;2×;0.01%
JW;2×;0.01%
JI;2×;0.01%
GP;2×;0.01%
OY;2×;0.01%
DP;2×;0.01%
YL;2×;0.01%
WV;2×;0.01%
GJ;2×;0.01%
IW;1×;0%
PY;1×;0%
YJ;1×;0%
PC;1×;0%
HH;1×;0%
DJ;1×;0%
KZ;1×;0%
WK;1×;0%
FJ;1×;0%
CM;1×;0%
BW;1×;0%
HD;1×;0%
VZ;1×;0%
UJ;1×;0%
IQ;1×;0%
HJ;1×;0%
VT;1×;0%
YU;1×;0%
VS;1×;0%
WY;1×;0%
FZ;1×;0%
NQ;1×;0%
WM;1×;0%
PF;1×;0%
IY;1×;0%
HB;1×;0%
GX;1×;0%
VH;1×;0%
VD;1×;0%
MK;1×;0%
WR;1×;0%
WG;1×;0%
TQ;1×;0%
ZH;1×;0%
XY;1×;0%
HM;1×;0%
NX;1×;0%
YR;1×;0%
WT;1×;0%
BM;1×;0%
VU;1×;0%
HG;1×;0%
DC;1×;0%
WU;1×;0%
OJ;1×;0%
XE;1×;0%
VJ;1×;0%
JG;1×;0%
BV;1×;0%
XD;1×;0%
WL;1×;0%
CD;1×;0%
LR;1×;0%
XM;1×;0%
HC;1×;0%
XB;1×;0%
CQ;1×;0%
WW;1×;0%
MJ;1×;0%
UP;1×;0%
YF;1×;0%
MF;1×;0%
DF;1×;0%
JM;1×;0%
CY;1×;0%
XF;1×;0%
AQ;1×;0%
