VU;2×;0.01%
CF;2×;0.01%
BC;2×;0.01%
CW;2×;0.01%
DY;2×;0.01%
KT;2×;0.01%
BJ;2×;0.01%
PN;2×;0.01%
HV;2×;0.01%
YY;2×;0.01%
OX;2×;0.01%
WZ;2×;0.01%
VC;2×;0.01%
GY;2×;0.01%
CG;2×;0.01%
MD;2×;0.01%
GG;2×;0.01%
LJ;2×;0.01%
UV;2×;0.01%
LV;2×;0.01%
GB;2×;0.01%
BN;1×;0.01%
UF;1×;0.01%
NQ;1×;0.01%
BP;1×;0.01%
KR;1×;0.01%
JR;1×;0.01%
TK;1×;0.01%
TJ;1×;0.01%
XF;1×;0.01%
XR;1×;0.01%
XG;1×;0.01%
ZF;1×;0.01%
XM;1×;0.01%
WG;1×;0.01%
OZ;1×;0.01%
BF;1×;0.01%
KU;1×;0.01%
QO;1×;0.01%
XC;1×;0.01%
CJ;1×;0.01%
NZ;1×;0.01%
XU;1×;0.01%
CZ;1×;0.01%
GZ;1×;0.01%
GW;1×;0.01%
DZ;1×;0.01%
KF;1×;0.01%
GV;1×;0.01%
FV;1×;0.01%
PD;1×;0.01%
ZD;1×;0.01%
XY;1×;0.01%
TV;1×;0.01%
DK;1×;0.01%
FJ;1×;0.01%
VM;1×;0.01%
ZS;1×;0.01%
CB;1×;0.01%
TZ;1×;0.01%
PC;1×;0.01%
ZV;1×;0.01%
HL;1×;0.01%
WV;1×;0.01%
EZ;1×;0.01%
ZH;1×;0.01%
CQ;1×;0.01%
GK;1×;0.01%
ZU;1×;0.01%
IY;1×;0.01%
JB;1×;0.01%
YJ;1×;0.01%
SJ;1×;0.01%
FQ;1×;0.01%
YK;1×;0.01%
AO;1×;0.01%
KD;1×;0.01%
CV;1×;0.01%
IH;1×;0.01%
YU;1×;0.01%
BG;1×;0.01%
CM;1×;0.01%
UJ;1×;0.01%
JI;1×;0.01%
BW;1×;0.01%
WF;1×;0.01%
AQ;1×;0.01%
WJ;1×;0.01%
